first_name,second_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id,full_name
Cédric,Soares,0,3,102,2515,36,648.9,591.0,155,11,584,139.6,11,0,7,2.7,301,Cédric Soares
Cuco,Martina,0,0,31,592,6,114.7,94.2,20,5,140,22.7,3,0,0,0.4,302,Cuco Martina
Virgil,van Dijk,1,0,75,1852,23,81.1,546.2,232,14,435,86.0,7,1,3,5.3,303,Virgil van Dijk
Nathan,Redmond,7,1,126,2898,40,880.3,545.6,1021,13,483,243.8,12,1,2,7.4,304,Nathan Redmond
Steven,Davis,0,3,77,2643,37,573.0,437.6,379,0,450,138.9,10,0,3,0.5,305,Steven Davis
James,Ward-Prowse,4,4,92,1883,26,729.1,427.4,448,5,377,160.7,9,0,4,1.4,306,James Ward-Prowse
Harrison,Reed,0,0,3,64,1,1.4,11.0,0,0,16,1.3,0,0,0,0.1,307,Harrison Reed
Dusan,Tadic,3,7,108,2411,29,1144.1,455.4,819,4,376,242.0,13,0,4,2.0,308,Dusan Tadic
Jordy,Clasie,1,1,38,1022,15,129.1,122.4,94,3,157,33.3,2,0,3,0.1,309,Jordy Clasie
Oriol,Romeu Vidal,1,0,80,3071,42,280.5,585.6,240,4,566,110.7,13,0,11,0.8,310,Oriol Romeu Vidal
Jay,Rodriguez,5,2,73,893,15,132.8,255.2,507,8,170,89.4,3,0,0,0.3,311,Jay Rodriguez
Pierre-Emile,Højbjerg,0,0,38,1300,16,305.0,222.0,216,0,232,74.1,6,0,2,1.6,312,Pierre-Emile Højbjerg
Shane,Long,3,2,57,1262,23,231.6,201.6,584,2,159,100.1,2,0,2,3.0,313,Shane Long
Charlie,Austin,6,1,62,934,8,134.3,274.2,573,10,218,97.9,6,0,1,1.8,314,Charlie Austin
Shay,Given,0,0,13,450,14,0.0,144.8,0,3,92,14.4,0,0,1,0.4,315,Shay Given
Jack,Butland,0,0,20,450,8,0.0,121.8,0,2,104,12.2,2,0,0,0.9,316,Jack Butland
Jakob,Haugaard,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.1,317,Jakob Haugaard
Ryan,Shawcross,1,2,94,3150,53,65.3,732.2,395,6,549,119.3,9,0,6,1.7,318,Ryan Shawcross
Marc,Wilson,0,0,0,255,7,34.5,63.0,5,0,29,10.3,0,0,3,2.3,319,Marc Wilson
