full_name,goals_scored,assists,total_points,minutes,goals_conceded,creativity,influence,threat,bonus,bps,ict_index,clean_sheets,red_cards,yellow_cards,selected_by_percent,id
Héctor Bellerín,3,9,251,5553,78,1069.3,991.6,879.0,23,1225,293.9,22,0,9,24.200000000000003,13
Idrissa Gueye,3,4,167,5430,76,737.7,1132.8,403.0,16,1092,227.5,18,1,17,1.3,643
Ilkay Gündogan,7,3,123,2208,23,616.0,568.2,607.0,11,572,178.9,9,0,3,3.5999999999999996,489
Isaac Hayden,1,0,41,1365,25,164.7,273.6,144.0,0,171,58.2,3,0,7,0.2,496
Jack Cork,2,2,150,5652,90,554.8,920.8,433.0,6,881,190.6,15,0,14,3.7,457
Jack Simpson,0,0,1,71,2,0.0,6.2,0.0,0,10,0.6,0,0,0,0.2,570
Jack Stephens,2,1,118,3451,57,126.5,857.0,282.0,12,701,126.5,11,1,7,5.7,817
Jack Wilshere,1,6,107,3135,61,826.2,566.8,490.0,4,548,187.8,9,0,10,1.2,41
Jacob Murphy,1,2,51,1137,25,159.7,161.8,227.0,2,171,54.7,2,0,0,0.1,478
Jairo Riedewald,0,0,23,435,6,21.5,74.4,12.0,0,100,10.6,2,0,0,0.1,482
Jamaal Lascelles,3,0,116,2927,31,77.2,800.0,234.0,9,567,111.5,9,0,5,9.5,290
James McArthur,10,5,194,4424,74,617.5,891.0,866.0,17,779,236.60000000000002,10,0,10,5.7,241
James McCarthy,1,1,29,817,16,99.7,153.6,88.0,0,141,34.4,0,0,2,0.2,286
James Milner,7,7,216,4913,60,1552.5,1356.2,765.0,20,1141,367.7,18,0,8,7.3,430
James Tarkowski,0,1,124,3358,41,151.8,968.2,334.0,4,650,145.3,12,0,6,6.8999999999999995,138
James Tomkins,6,0,174,4360,68,58.1,1183.6,522.0,14,871,176.8,15,0,12,4.6000000000000005,220
James Ward-Prowse,7,9,176,3591,55,1343.0,790.8,744.0,13,744,287.79999999999995,11,0,7,3.0999999999999996,623
Jamie Vardy,33,10,344,6049,114,890.3,1452.6,2177.0,52,1229,451.1,15,1,5,35.6,393
Jan Bednarek,1,0,22,427,5,1.9,110.0,19.0,0,88,13.1,2,0,1,0.6,315
Jan Vertonghen,0,1,264,6097,52,326.79999999999995,1565.1999999999998,381.0,21,1511,227.8,31,0,9,17.8,765
Jaroslaw Jach,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,605
Jason Puncheon,0,6,103,3667,67,1035.7,546.6,560.0,6,538,213.79999999999998,7,0,14,1.0,235
Javier Hernández Balcázar,8,2,93,1537,36,312.4,373.6,476.0,14,309,115.0,6,0,3,7.2,487
Javier Manquillo,1,1,87,3187,59,263.5,508.2,92.0,1,457,86.69999999999999,6,0,4,0.6,1015
Jayson Molumby,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,553
Jeff Hendrick,4,3,161,5017,75,642.6,550.2,594.0,2,593,178.3,18,1,7,0.30000000000000004,646
Jeffrey Schlupp,0,4,97,2881,47,290.1,553.8,220.0,4,518,106.69999999999999,6,0,3,0.5,292
Jermain Defoe,19,5,226,4397,84,419.4,839.8,1918.0,29,720,315.9,8,0,2,17.5,407
Jerome Sinclair,0,0,10,145,2,25.3,5.4,26.0,0,23,5.4,0,0,0,0.4,927
Jesse Lingard,9,9,188,3167,30,1041.4,756.0,1150.0,13,677,293.3,16,0,5,11.100000000000001,545
Joe Hart,0,1,59,1710,39,20.0,382.8,0.0,3,341,40.2,4,0,0,6.7,697
Joel Coleman,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,3.8,162
Joel Matip,2,0,178,4452,52,239.4,1133.4,488.0,10,1027,186.1,18,0,6,4.9,418
Joel Ward,0,2,127,5030,88,427.2,948.8000000000001,187.0,7,844,156.7,11,0,11,1.1,224
Johann Berg Gudmundsson,3,12,164,3830,52,1319.3,819.0,700.0,10,654,284.0,13,0,3,2.0,557
John Stones,0,0,129,3315,40,104.3,724.8,294.0,9,769,112.9,13,0,1,16.400000000000002,370
Jon Gorenc Stankovic,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.2,169
Jonas Lössl,0,1,135,3420,58,30.0,846.8,0.0,11,701,87.8,10,0,1,6.8,163
Jonathan Hogg,0,0,53,2396,40,172.8,475.0,61.0,0,400,71.2,7,1,8,0.2,174
Jonathan Walters,4,3,75,1340,24,199.39999999999998,295.2,499.0,3,198,99.1,6,0,1,0.2,419
Jonjo Shelvey,1,4,73,2264,30,639.9,442.6,243.0,4,360,132.3,6,2,2,0.6,296
Jonjoe Kenny,0,2,51,1602,31,185.1,362.4,47.0,2,311,59.5,5,0,2,2.1,761
Jonny Evans,4,3,157,4906,77,221.7,1162.8000000000002,470.0,12,933,185.7,10,0,15,5.1,854
Jordan Ayew,8,6,147,3717,56,472.9,703.2,1163.0,14,504,233.70000000000002,12,1,3,10.1,1015
Jordan Henderson,2,5,148,4285,49,1003.0999999999999,924.4,203.0,12,849,213.3,21,0,9,2.2,426
Jordan Hugill,0,0,3,22,0,0.4,0.0,0.0,0,4,0.0,0,0,0,0.0,622
Jordan Pickford,0,0,247,6030,108,70.1,1806.6,4.0,25,1332,188.10000000000002,14,0,0,19.3,475
Jordon Ibe,2,6,121,3043,55,871.0,475.0,845.0,5,422,218.8,7,0,1,2.1,91
Jose Luis Mato Sanmartín,4,1,69,1703,25,254.8,291.2,526.0,5,227,106.5,5,0,2,0.5,826
Joseph Gomez,0,2,86,1901,22,285.6,437.4,46.0,9,480,76.9,9,0,3,2.2,413
Joseph Willock,0,0,3,81,2,5.8,8.2,4.0,0,8,1.8,0,0,0,0.0,634
Joshua King,24,7,288,5164,92,1031.3000000000002,1412.2,1909.0,27,934,435.29999999999995,16,0,4,21.2,99
Joshua Sims,0,1,20,371,3,81.7,74.4,232.0,0,66,38.8,2,0,0,0.4,927
José Heriberto Izquierdo Mena,5,5,101,1976,32,311.3,385.4,618.0,4,324,131.3,5,0,2,0.3,517
José Holebas,2,8,159,5286,108,1200.4,1176.8,336.0,15,959,271.6,13,0,21,3.5,812
Juan Foyth,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,534
Juan Mata,9,8,202,3533,26,1597.4,880.4000000000001,1051.0,20,875,352.0,25,0,4,4.0,530
Julian Speroni,0,0,36,990,14,0.0,213.6,0.0,3,175,21.3,2,0,0,3.1,215
Junior Stanislas,12,9,182,2752,51,784.0999999999999,849.4000000000001,901.0,20,657,253.1,6,0,2,1.6,84
Jürgen Locadia,1,1,16,221,8,24.6,50.4,89.0,2,47,15.8,1,0,0,0.0,604
Karl Darlow,0,0,33,900,15,0.0,258.8,0.0,2,172,25.9,2,0,0,0.2,287
Kasper Schmeichel,0,0,232,5631,94,11.1,1444.6,0.0,27,1177,145.7,16,0,4,10.1,354
Kazaiah Sterling,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.1,643
Kelechi Iheanacho,7,7,106,1355,26,379.29999999999995,438.2,813.0,11,351,161.9,2,0,2,3.0999999999999996,499
Kevin De Bruyne,14,39,408,5950,56,3446.2,2019.0,1587.0,58,1697,705.5,30,0,6,31.799999999999997,487
Kevin Long,1,2,60,1710,27,65.0,516.4,224.0,6,321,80.6,4,0,1,7.6,674
Kevin Mirallas,4,8,124,2209,34,702.3000000000001,456.0,781.0,8,439,193.3,11,0,3,3.0,281
Kieran Trippier,0,12,164,2480,24,803.1,642.8,113.0,25,741,156.2,12,0,2,5.2,769
Konstantinos Mavropanos,0,0,4,194,5,1.3,52.2,2.0,0,41,5.5,1,1,0,0.0,595
Kurt Zouma,1,1,102,3137,58,105.3,874.8000000000001,239.0,8,623,122.2,7,0,1,2.3,178
Kyle Taylor,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,602
Kyle Walker,0,12,280,5485,43,1081.9,1106.4,381.0,26,1331,257.29999999999995,29,1,10,39.900000000000006,763
Kyle Walker-Peters,0,2,13,188,4,48.3,70.4,10.0,0,73,12.9,1,0,0,0.9,498
Laurent Depoitre,6,2,94,1807,34,191.4,352.0,451.0,14,283,99.6,4,0,1,2.6,187
Laurent Koscielny,4,1,221,5046,69,177.7,1523.2,376.0,35,1279,208.2,19,1,8,12.7,7
Lazar Markovic,2,0,37,1005,15,160.3,142.2,185.0,2,125,48.5,5,0,4,0.1,206
Lee Grant,0,0,111,2790,41,0.0,708.2,0.0,9,590,71.0,9,0,1,6.7,903
Leighton Baines,4,8,217,4728,68,1068.5,978.1999999999999,253.0,25,1028,230.10000000000002,16,0,5,15.0,263
Leroy Sané,15,22,284,4196,37,1396.4,1239.6,1645.0,25,990,428.09999999999997,21,0,8,20.9,744
Lewis Cook,0,4,75,2666,49,513.1,557.1999999999999,154.0,1,418,122.5,4,0,6,2.0,93
Lewis Dunk,1,1,97,3420,54,147.8,1002.8,425.0,7,637,157.9,10,0,7,2.9,55
Loris Karius,0,0,120,2610,26,0.0,430.0,0.0,5,535,42.9,13,0,1,2.5999999999999996,403
Lucas Pérez,1,1,20,272,2,105.4,65.4,163.0,0,83,32.9,1,0,0,0.2,576
Lucas Rodrigues Moura da Silva,0,1,11,206,6,83.2,49.0,41.0,0,36,17.5,0,0,0,0.0,617
Luka Milivojevic,12,2,186,4303,68,475.5,1066.2,562.0,24,799,210.39999999999998,13,0,12,13.6,778
Lukasz Fabianski,0,0,273,6750,125,10.1,1868.1999999999998,0.0,22,1422,188.0,17,0,1,13.7,706
Luke Dreher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,581
Luke Shaw,0,3,93,1475,8,287.5,281.79999999999995,208.0,8,418,78.0,11,0,3,6.9,512
Lys Mousset,2,1,50,851,20,109.1,148.20000000000002,361.0,3,128,60.0,2,0,1,0.30000000000000004,103
Maarten Stekelenburg,0,0,68,1683,24,0.1,350.4,0.0,3,309,35.1,4,0,2,2.0,261
Mamadou Sakho,1,2,116,2283,29,79.4,569.6,117.0,24,560,76.8,10,0,1,1.6,411
Manolo Gabbiadini,9,1,104,1791,29,218.9,368.6,701.0,14,328,126.4,7,0,3,7.9,970
Manuel Lanzini,13,10,239,4747,97,1488.1999999999998,1198.4,1131.0,31,1105,382.3,15,0,13,2.8,915
Marc Albrighton,4,14,202,4945,89,1438.1,1063.8,572.0,15,926,307.79999999999995,16,1,10,4.7,377
Marc Pugh,2,3,96,2303,41,500.1,337.8,514.0,6,321,134.9,10,0,3,0.5,78
Marcos Alonso,13,7,342,5548,49,970.0,1316.0,1358.0,26,1325,364.7,28,0,8,32.2,661
Marcos Rojo,1,0,100,2302,21,97.0,597.8,194.0,11,520,89.0,11,0,11,0.7999999999999999,514
Marcus Rashford,12,8,180,3511,31,823.5,787.0,1572.0,13,674,317.2,17,0,6,18.2,555
Mario Lemina,1,1,58,1715,31,170.6,363.6,145.0,5,337,67.8,4,0,2,0.2,500
Mark Noble,7,0,155,4789,85,722.6,869.6,374.0,12,850,196.7,15,0,16,1.5,908
Marko Arnautovic,17,14,261,5022,93,1311.7,1244.1999999999998,2016.0,20,841,457.29999999999995,16,2,14,8.6,671
Markus Suttner,0,0,38,1178,18,105.6,187.4,17.0,3,204,30.8,4,0,0,0.4,461
Marouane Fellaini,5,0,95,2215,15,370.09999999999997,545.0,597.0,3,430,150.7,14,1,9,0.8999999999999999,532
Martin Dubravka,0,0,53,1080,11,0.0,234.6,0.0,5,215,23.3,4,0,0,1.0,621
Martin Kelly,0,2,80,3317,65,150.79999999999998,644.4,145.0,1,508,94.3,6,0,5,1.2,226
Marvin Zeegelaar,0,2,28,993,18,142.1,185.2,24.0,5,186,35.2,2,1,4,0.3,537
Mason Holgate,0,1,91,2555,32,246.1,572.6,188.0,5,517,100.8,9,0,5,8.1,639
Matej Vydra,0,0,1,3,0,0.3,0.0,0.0,0,3,0.0,0,0,0,0.3,483
Mathew Ryan,0,0,146,3420,54,0.0,911.6,0.0,13,726,91.1,10,0,0,3.4,54
Mathias Jorgensen,0,3,107,3420,58,123.6,768.6,169.0,9,623,106.2,10,0,6,6.6,171
Matt Butcher,0,0,0,0,0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.0,588
Matt Ritchie,3,7,116,2802,35,844.4,561.2,520.0,10,489,192.6,9,0,6,2.3,295
Matt Targett,0,0,14,539,10,126.5,106.8,12.0,0,115,24.6,1,0,0,0.30000000000000004,608
Matteo Darmian,0,0,97,1776,11,99.3,301.0,19.0,9,438,42.0,12,0,3,1.2,519
Matthew Lowton,0,5,179,5535,79,756.4,1345.2,126.0,9,1081,223.2,17,0,10,5.7,131
Matty James,0,0,26,991,15,52.7,114.6,145.0,0,121,31.4,4,0,2,0.2,474
Maya Yoshida,3,2,154,4119,64,129.8,1057.8000000000002,513.0,14,882,170.5,13,1,4,7.6000000000000005,606
Mesut Özil,12,20,279,5002,66,2936.8,1475.0,1289.0,30,1235,570.6,20,0,6,9.6,30
Michael Keane,2,2,194,5709,95,155.1,1634.1999999999998,681.0,21,1132,247.3,17,0,7,8.399999999999999,204
Michael Obafemi,0,0,1,8,0,1.3,0.0,4.0,0,-1,0.3,0,0,0,0.7,603
Michail Antonio,12,10,194,3783,66,759.4000000000001,919.0,1498.0,9,598,317.29999999999995,14,1,5,5.5,918
Michel Vorm,0,0,20,506,3,0.0,89.4,0.0,0,98,8.8,2,0,0,0.4,757
Michy Batshuayi,7,2,73,605,10,79.9,292.6,400.0,7,246,76.4,1,0,0,1.7,209
Miguel Britos,2,2,93,3075,52,139.4,711.6,331.0,8,562,118.2,8,3,9,1.2,815
Mikel Merino,1,1,49,1337,18,236.7,374.8,156.0,4,271,76.9,3,0,4,0.1,495
Mohamed Diamé,2,0,70,2034,27,214.2,431.8,203.0,3,340,85.3,6,0,3,0.3,457
Mohamed Elneny,0,2,48,1559,21,303.0,227.2,208.0,0,289,73.6,6,1,4,3.4,44
Mohamed Salah,32,12,303,2905,29,942.5,1496.2,2109.0,26,881,454.4,15,0,1,56.7,234
Morgan Schneiderlin,1,0,89,3197,52,271.5,577.4,142.0,2,558,99.2,11,1,6,0.9,418
